,ref,est,ref_size,perfect,yomi,miss
33,朝食 / 後 / の / コーヒー / が / 出 / て / くる / の / が / 遅く / 再度 / 頼ん / だ / の / です / が / 忘れ / て / しまっ / た / の / でしょ / う,朝食 / 後 / の / コーヒー / が / 出 / て / くる / の / が / 遅く / 再度 / 頼ん / だ / の / です / が / 忘れ / て / しまっ / た / の / でしょ / う,24,24,0,0
34,今回 / も / 最初 / は / インターネット / が / 繋がら / ず / 焦り / まし / た / が / ホテル / の / 方 / の / 丁寧 / な / フォロー / によって / ちゃんと / 使える / よう / に / なり / まし / た,今回 / も / 最初 / は / インターネット / が / つながら / ず / 焦り / まし / た / が / ホテル / の / 方 / の / 丁寧 / な / フォロー / によって / ちゃんと / 使える / よう / に / なり / まし / た,27,26,1,0
35,<num> / <num> / に / <num> / 泊 / さ / せ / て / いただき / まし / た,<num> / <num> / に / <num> / 泊 / さ / せ / て / いただき / まし / た,11,11,0,0
36,全体 / に / とても / 良かっ / た / ので / また / 利用 / し / たい / と / 思い / ます,全体 / に / とても / よかっ / た / ので / また / 利用 / し / たい / と / 思い / ます,13,12,1,0
37,ベッドカバータイプ / って / 汚れ / てる / よう / な / 感じ / が / し / て / ベッド / に / 思いっきり / 寝 / 転がれ / ない / の / です / が / こちら / の / は / 普通 / の / お / 布団 / の / よう / な / 感じ / で / カバー / は / 白 / だ / から / 清潔 / ー,ベッドカバータイプ / って / 汚れ / てる / よう / に / 感じ / が / し / た / ベッド / に / 思いっきり / 寝 / 転がれ / ない / の / です / が / こちら / に / は / 普通 / の / お / 布団 / の / よう / な / 感じ / で / 気分 / は / 知床 / らしい / こと / を,38,29,0,-1
38,少々 / 洗い場 / が / 狭い / です / が / 大 / 人数 / で / 入る / 訳 / で / は / ない / ので / 問題 / 無し / です,少々 / 洗い場 / が / 狭い / です / が / 大 / 人数 / で / 入る / わけ / で / は / ない / ので / 問題 / なし / です,18,16,2,0
39,<num> / 階 / の / 部屋 / で / 十分 / に / 広く / 快適 / でし / た,<num> / 階 / の / 部屋 / で / 十分 / に / 広く / 快適 / でし / た,11,11,0,0
40,しかし / 朝食 / バイキング / の / メニュー / が / 二 / 日 / とも / 同じ / な / の / は,しかし / 朝食 / バイキング / の / メニュー / が / 二 / 日 / とも / 同じ / な / の / は,13,13,0,0
41,<eng> / <num> / で / <num> / 月 / <num> / 日 / に / <num> / 泊 / で,<eng> / <num> / で / <num> / 月 / <num> / 日 / に / <num> / 泊 / で,11,11,0,0
42,これから / も / 頑張っ / て / ください,これから / も / 頑張っ / て / ください,5,5,0,0
43,ありがとう / ござい / まし / た,ありがとう / ござい / まし / た,4,4,0,0
44,ただ / 繁華 / 街 / で / 最近 / 客引き / らしい / 外国 / 人 / を / 見かけ / たり / パチンコ / 屋 / が / 目立つ / など / やや / 治安 / の / 面 / が / 気 / に / なり / ます,ただ / 繁華 / 街 / で / 最近 / 客引き / らしい / 外国 / 人 / を / 見かけ / たり / パチンコ / 屋 / が / 持て / た / ので / やや / ツイン / の / 面 / が / 気 / に / なり / ます,26,23,0,-1
45,ゆったり / し / た / お / 部屋 / で / 満足 / し / まし / た,ゆったり / し / た / お / 部屋 / で / 満足 / し / まし / た,10,10,0,0
46,全体 / 的 / に / は / いい / ん / です / けど / トイレ / と / 風呂 / が / 狭い / の / が / 大変 / 満足 / に / なら / ない / 点 / です,全体 / 的 / に / は / いい / ん / です / けど / トイレ / 扉 / が / 狭い / の / が / 大変 / 満足 / に / なら / ない / 点 / です,22,20,0,-1
47,そう / 思え / ば / 敢えて / 書き込む / こと / で / も / ない / の / だ / が / 一応 / 感想 / を / 述べ / た,そう / 思え / ば / あえて / 書き込む / こと / で / も / ない / の / だ / が / 一応 / 感想 / を / 述べ / た,17,16,1,0
48,理由 / は / <num> / 清潔 / <num> / 適切 / な / 値段 / <num> / 静か / <num> / 会社 / に / 近い / など / 良い / 点 / が / 多い / ため / です,理由 / は / <num> / 清潔 / <num> / 適切 / な / 値段 / <num> / 静か / <num> / 会社 / に / 近い / ので / 良い / 点 / が / 多い / ため / です,21,20,0,0
49,お / 部屋 / を / 洋室 / から / 和室 / へ / 変え / て / いただき / とても / ありがたく / 思い / ます,お / 部屋 / を / 洋室 / から / 和室 / へ / 変え / て / いただき / とても / ありがたく / 思い / ます,14,14,0,0
50,唯一 / 要望 / を / 挙げる / の / なら / 宿泊 / 駐車 / 場代 / が / もう少し,唯一 / 要望 / を / 挙げる / の / なら / 宿泊 / 駐車 / 場代 / が / もう少し,11,11,0,0
51,欲 / を / いえ / ば / 大 / 浴場 / の / シャワー / が / すぐ / 止まっ / て / しまい / 長い / 髪 / が / 洗い / にくかっ / た / ので / もう少し / 長い / 間 / 出る / よう / に / なっ / て / いれ / ば / 良い / な / と / 思い / まし / た,欲 / を / 言え / ば / 大 / 浴場 / の / シャワー / が / すぐ / 止まっ / て / しまい / 長い / 髪 / が / 洗い / にくかっ / た / ので / もう少し / 長い / 間 / 出る / よう / に / なっ / て / いれ / ば / 良い / な / と / 思い / まし / た,36,35,1,0
52,連休 / に / 宿泊 / さ / せ / て / いただき / まし / た,連休 / に / 宿泊 / さ / せ / て / いただき / まし / た,9,9,0,0
53,あの / 値段 / で / あれ / ば / 再び / 泊まっ / て / みたい / です,あの / 値段 / で / あれ / ば / 再び / 泊まっ / て / みたい / です,10,10,0,0
54,初めて / ビジネス / ホテル / を / 利用 / し / まし / た,初めて / ビジネス / ホテル / を / 利用 / し / まし / た,8,8,0,0
55,おかげ / で / 足首 / を / 刺さ / れ / まし / た,おかげ / で / 朝 / ごはん / 刺さ / れ / まし / た,8,6,0,0
56,できれ / ば / ドライヤー / の / ワット / 数 / が / 知り / たい / の / です / が,できれ / ば / ドライヤー / の / ワット / 数 / が / 知り / たい / の / です / が,12,12,0,0
57,夜 / も / 比較的 / 静か,夜 / も / 比較的 / 静か,4,4,0,0
58,チェック / アウト / の / 日 / かなり / 寒かっ / た / ので / 貰っ / た / ホッカイ / ロ / は / 早速 / 使わ / せ / て / もらい / まし / た,チェック / アウト / の / は / かなり / 狭かっ / た / ので / もらっ / て / ホッ / カイロ / は / 早速 / 使わ / せ / て / もらい / まし / た,20,14,1,0
59,突然 / の / 旅行 / に / なり / 慌て / て / 当日 / に / ネット / 予約 / を / し / て / 宿泊 / し / まし / た,突然 / の / 旅行 / に / なり / 慌て / て / 当日 / に / ネット / 予約 / を / し / て / 宿泊 / し / まし / た,18,18,0,0
60,ベッド / も / 広く / て / 全体 / 的 / に / 満足 / の / いく / 内容 / でし / た,ベッド / も / 広く / て / 全体 / 的 / に / 満足 / の / いく / 内容 / でし / た,13,13,0,0
61,前回 / 利用 / さ / せ / て / いただい / て / 気に入り / まし / た / ので / また / 予約 / し / まし / た,前回 / 利用 / さ / せ / て / いただい / て / 気に入り / まし / た / ので / また / 予約 / し / まし / た,16,16,0,0
62,<num> / 日 / に / <num> / 泊 / し / まし / た,<num> / 日 / に / <num> / 泊 / し / まし / た,8,8,0,0
63,朝食 / が / まずい,朝食 / が / まずい,3,3,0,0
64,もう / ちょっと / 近けれ / ば / 毎年 / 行き / たい / ぐらい / です,もう / ちょっと / 近けれ / ば / 毎年 / 行き / たい / くらい / です,9,8,0,0
65,リニア / で / 向かう / と / 北 / ゲート / に / 着け / ます / が / その / 場合 / は / 車 / を / 駅 / 近く / の / 個人 / 有料 / 駐車 / 場 / <num> / <num> / 円 / に / 止める / 必要 / が / あり / こちら / も / 人気 / の / ため / 予約 / を / し / た / ほう / が / 無難 / です,ら / ない / ため / 快適 / で / コート / など / が / まさか / その / 場合 / は / 車 / を / 置き / 近く / の / 個人 / 有料 / 駐車 / 場 / <num> / <num> / 円 / に / 止める / 必要 / が / あり / こちら / も / 人気 / の / ため / 予約 / を / し / た / 方 / が / 無難 / です,43,32,1,-4
66,仕事 / で / 忙しい / 時 / に / ほっと / 一息 / つく / ため / に / また / 利用 / し / たい / です,仕事 / で / 忙しい / とき / に / ほっと / 一息 / つく / ため / に / また / 利用 / し / たい / です,15,14,1,0
67,に / 利用 / さ / せ / て / いただき / まし / た,に / 利用 / さ / せ / て / いただき / まし / た,8,8,0,0
68,歩く / の / が / 苦手 / で / この / ホテル / に / 予約 / し / まし / た,歩く / の / が / 苦手 / で / この / ホテル / に / 予約 / し / まし / た,12,12,0,0
69,部屋 / は / <num> / だっ / た / と / 思い / ます,部屋 / は / <num> / だっ / た / と / 思い / ます,8,8,0,0
70,こちら / は / 初めて / 利用 / さ / せ / て / 頂き / まし / た / が / 他 / の / 同 / ランク / の / ホテル / に / 何 / 度 / か / 宿泊 / する / 機会 / が / 有り / 通常 / 割安 / 共に / 行き届い / た / 対応 / を / し / て / 頂い / た / 経験 / が / 有る / ので / どうしても / 比べ / て / しまい / まし / た,こちら / は / 初めて / 利用 / さ / せ / て / いただき / まし / た / が / 他 / の / 同 / ランク / の / ホテル / に / 何 / 度 / か / 宿泊 / する / 機会 / が / あり / 通常 / 割安 / 共に / 行き届い / た / 対応 / を / し / て / いただい / て / 好感 / が / ある / ので / どうしても / 比べ / て / しまい / まし / た,47,41,4,0
71,蛍光 / 灯 / の / 方 / が / 電球 / より / は / 経済 / 的 / だ / と / は / いい / ます / が,蛍光 / 灯 / の / 方 / が / 電球 / より / は / 経済 / 的 / だ / と / は / いえ / ます / が,16,15,0,0
72,安い / し / 駅 / から / 近い / から / 良かっ / た,安い / し / 駅 / から / 近い / から / 良かっ / た,8,8,0,0
73,フロント / の / 応対 / が / 男性 / 女性 / と / も / よかっ / た,フロント / の / 応対 / が / 男性 / 女性 / で / も / 良かっ / た,10,8,1,0
74,お湯 / は / とても / 良かっ / た / です,お湯 / は / とても / 良かっ / た / です,6,6,0,0
75,料理 / は,料理 / は,2,2,0,0
76,ダイバー / 用 / の / 宿 / として / は / 大変 / よかっ / た / です,大変 / 良い / の / 宿 / として / は / 大変 / 良かっ / た / です,10,7,1,0
77,とても / 清潔 / な / お / 部屋 / で / 窓 / から / の / 眺め / も / 良く / オオクラ / の / ネームバリュー / を / 考える / と / 地方 / 都市 / ならでは / の / 割安 / プラン / だ / と / 思い / ます,とても / 清潔 / な / お / 部屋 / で / 窓 / から / の / 眺め / も / 良く / オオクラ / の / ネームバリュー / を / 考える / と / 地方 / 都市 / ならでは / の / 割安 / プラン / だ / と / 思い / ます,28,28,0,0
78,<eng>,<eng>,1,1,0,0
79,<eng> / <num> / です,<eng> / <num> / です,3,3,0,0
80,クレジットカード / が / 使え / ない / 点 / が / 不便 / でし / た / が / 値段 / を / 考える / と / 仕方 / が / ない / か / と / も / 思い / ます,クレジットカード / が / 使え / ない / 点 / が / 不便 / でし / た / が / 値段 / を / 考える / と / 仕方 / が / ない / こと / も / 思い / ます,22,20,0,-1
81,フィルター / 掃除 / しっかり / やっ / て / 下さい,フィルター / 掃除 / しっかり / やっ / て / ください,6,5,1,0
82,遅い / 時間 / の / チェックイン / の / 為 / か / フロント / の / 方 / は / やはり / 笑顔 / も / なく / 不 / 愛想 / に / 感じ / まし / た,遅い / 時間 / に / チェックイン / の / ため / か / フロント / の / 方 / は / やはり / 笑顔 / も / なく / 不 / 愛想 / な / かんじ / まし / た,21,17,2,0
83,の / 修正 / を,の / 詳細 / を,3,2,0,0
84,るる / ぶ,るる / ぶ,2,2,0,0
85,フロント / の / 女性 / は / いずれ / も / 若く / て / ハキハキ / し / て / おり / 大変 / 好感 / が / 持て / まし / た,フロント / の / 女性 / は / いずれ / も / 若く / て / ハキハキ / し / て / おり / 大変 / 好感 / が / 持て / まし / た,18,18,0,0
86,<eng> / 期間 / 中 / の / 料金 / だっ / た / 為 / ものすごく / 得 / し / た / 気分 / を / 味わえ / た,<eng> / 期間 / 中 / の / 料金 / だっ / た / 為 / ものすごく / 得 / し / た / 気分 / を / 味わえ / た,16,16,0,0
87,おっさん / くさい / 浴衣 / なんか / じゃ / ない / です / し / フロント / の / 方 / の / 対応 / も / 気持ち / 悪い / 愛想 / ベタ / ベタ / 感 / の / ある / 接客 / で / は / なく / センス / の / ある / 親し / みやす / さ / でし / た,おっさん / くさい / 浴衣 / なんか / じゃ / ない / です / し / フロント / の / 方 / の / 対応 / も / 気持ち / 悪い / 愛想 / ベタ / ベタ / 感 / の / ある / 接客 / で / は / なく / センス / の / ある / 親し / みやす / さ / でし / た,34,34,0,0
88,もし / 有っ / たら / ごめんなさい,もし / あっ / たら / ごめんなさい,4,3,1,0
89,ただ / 着替え / の / 着物 / の / センス / が / いまいち / だ / と / 思い / ます,と / どこ / か / 田舎 / もの / の / センス / が / いまいち / だ / と / 思い / ます,12,8,0,0
90,それから / 部屋 / に / 靴べら / が / ない / の / は / 困り / まし / た,それから / 部屋 / に / 靴べら / が / 無い / の / は / 困り / まし / た,11,10,1,0
91,女性 / 用 / の / 禁煙 / ルーム / を / 利用 / し / た / の / です / が / 清掃 / も / 綺麗 / で / お / 部屋 / も / 可愛らしく / 渋谷 / 駅 / 近く / という / 立地 / に / あり / ながら / 静か / で / 快適 / に / 過ごせ / まし / た,女性 / 用 / の / 禁煙 / ルーム / を / 利用 / し / た / の / です / が / 清掃 / も / きれい / で / お / 部屋 / も / 可愛らしく / 渋谷 / 駅 / 近く / という / 立地 / に / あり / ながら / 静か / で / 快適 / に / 過ごせ / まし / た,35,34,1,0
92,予約 / 番号 / <eng> / <num> / です,予約 / 番号 / <eng> / <num> / です,5,5,0,0
93,安く / て / 過ごし / やすい / ホテル / を / 探し / て / いる / 女の子 / に / 特に,安く / て / 過ごし / やすい / ホテル / を / 探し / て / いる / 女の子 / の / 時 / に,12,10,0,-1
94,ただ / テレビ / の / リモコン / の / 接触 / が / 悪い / せい / か / 使い / ずらかっ / た / の / が / 残念 / でし / た,ただ / テレビ / の / リモコン / の / 接触 / が / 悪い / せい / か / 使い / ずらかっ / た / の / が / 残念 / でし / た,18,18,0,0
95,フロント / の / 方 / も / 礼儀 / 正しく / 感じ / が / 良かっ / た / です,フロント / の / 方 / も / 礼儀 / 正しく / 感じ / が / 良かっ / た / です,11,11,0,0
96,ホテル / 内 / の / ブティック / で / ハンドバック / と / 旅行 / かばん / を / 買っ / て / しまい / まし / た,ホテル / 内 / の / ブティック / で / ハンドバック / と / 旅行 / 気分 / を / 買っ / て / しまい / まし / た,15,14,0,0
97,部屋 / も / 下手 / な / ビジ / に / 泊まる / より / よっぽど / 広く / て / 快適,部屋 / も / 八戸 / 市 / に / 泊まる / より / よっぽど / 広く / て / 快適,12,9,0,-1
98,部屋 / が / 清潔 / に / 保た / れ / て / い / て / 好感 / が / 持て / まし / た,部屋 / が / 清潔 / に / 保た / れ / て / い / て / 好感 / が / 持て / まし / た,14,14,0,0
99,さて / 予約 / 画面 / が / <num> / 月 / まで / しか / ない / の / です / が / もう / <num> / 月 / 分 / から / は / 旅 / の / 窓口 / から / の / 予約 / は / でき / ない / の / でしょ / う / か,さて / 予約 / 画面 / が / <num> / 月 / まで / しか / ない / の / です / が / もう / <num> / 月 / 分 / から / は / 旅 / の / 窓口 / から / の / 予約 / は / でき / ない / の / でしょ / う / か,31,31,0,0
100,お / 風呂 / 場 / は / 普通 / の / 広 / さ / です / が / 浴槽 / が / 大きく / て / ゆったり / のんびり / でき / まし / た,お / 風呂 / 場 / は / 普通 / の / 広 / さ / です / が / 浴槽 / が / 大きく / て / ゆったり / のんびり / でき / まし / た,19,19,0,0
