,sentence,traditional,pair_wise,col_num_all,col_num_sq
10,次回/ジカイ 上田/ウエダ に/ニ 出張/シュッチョウ し/シ た/タ 時/トキ に/ニ も/モ 宿泊/シュクハク を/ヲ さ/サ せ/セ て/テ いただこ/イタダコ う/ウ と/ト 思い/オモイ ます/マス が/ガ これ/コレ は/ハ 美味しく/オイシク ボリューム/ボリューム ある/アル 朝食/チョウショク <num> 円/エン と/ト フロント/フロント 及び/オヨビ 朝食/チョウショク を/ヲ 支度/シタク し/シ て/テ くれ/クレ た/タ 方/ホウ の/ノ 印象/インショウ が/ガ よかっ/ヨカッ た/タ こと/コト によります/ニヨリマス,550,375,362,176
11,今/イマ まで/マデ ホテル/ホテル は/ハ 安く/ヤスク て/テ 清潔/セイケツ だっ/ダッ たら/タラ どこ/ドコ でも/デモ <eng> だっ/ダッ た/タ の/ノ です/デス が/ガ ここ/ココ に/ニ 泊まる/トマル と/ト もう/モウ ほか/ホカ の/ノ ホテル/ホテル は/ハ 泊まれ/トマレ ませ/マセ ん/ン,312,217,201,93
12,照明/ショウメイ も/モ 白熱/ハクネツ 電球/デンキュウ で/デ スタンド/スタンド も/モ 凝っ/コッ て/テ い/イ て/テ 部屋/ヘヤ の/ノ 雰囲気/フンイキ が/ガ 良かっ/ヨカッ た/タ です/デス,220,155,141,63
13,でも/デモ ホテル/ホテル 利用/リヨウ 者/シャ は/ハ 駐車/チュウシャ 場代/バダイ は/ハ 無料/ムリョウ で/デ も/モ 良い/ヨイ の/ノ で/デ は/ハ,187,102,135,63
14,朝/アサ <num> 時/ジ 頃/ゴロ でも/デモ 起こし/オコシ に/ニ 来/キ て/テ くれ/クレ た/タ,80,65,45,25
15,もう少し/モウスコシ 地/チ の/ノ 厚い/アツイ もの/モノ が/ガ 良い/ヨイ の/ノ で/デ は/ハ と/ト 思い/オモイ まし/マシ た/タ,124,94,71,33
16,が/ガ チェックイン/チェックイン の/ノ 際/サイ に/ニ お/オ 部屋/ヘヤ を/ヲ 除/ジョ 臭/シュウ さ/サ せ/セ て/テ 頂き/イタダキ まし/マシ た/タ ので/ノデ,146,111,98,48
17,養殖/ヨウショク の/ノ 鮎/アユ は/ハ 食べ/タベ たく/タク ない/ナイ という/トイウ 私/ワタシ にとって/ニトッテ 天然/テンネン 鮎/アユ の/ノ 初物/ハツモノ は/ハ 感動/カンドウ でし/デシ た/タ,234,169,159,71
18,<num> 年/ネン 前/マエ に/ニ も/モ 会社/カイシャ 関係/カンケイ で/デ 泊まっ/トマッ て/テ い/イ た/タ ので/ノデ ゴールデンウィーク/ゴールデンウィーク に/ニ 今回/コンカイ は/ハ 家族/カゾク で/デ 利用/リヨウ し/シ まし/マシ た/タ,260,185,173,77
19,また/マタ 当日/トウジツ 食事/ショクジ 中/チュウ に/ニ 落雷/ラクライ が/ガ あり/アリ しばらく/シバラク 停電/テイデン し/シ て/テ い/イ まし/マシ た/タ が/ガ すぐ/スグ に/ニ 仲居/ナカイ さん/サン が/ガ 懐中/カイチュウ 電灯/デントウ を/ヲ 持っ/モッ て/テ き/キ て/テ くれる/クレル など/ナド ハード/ハード 面/メン のみ/ノミ なら/ナラ ず/ズ ソフト/ソフト 面/メン で/デ も/モ ありがたい/アリガタイ 対応/タイオウ を/ヲ し/シ て/テ いただき/イタダキ まし/マシ た/タ,502,352,353,163
20,ツイン/ツイン の/ノ 部屋/ヘヤ は/ハ とても/トテモ 広く/ヒロク て/テ 大/ダイ 満足/マンゾク でし/デシ た/タ,137,92,91,41
21,あと/アト 要望/ヨウボウ です/デス が/ガ 他/タ の/ノ ホテル/ホテル と/ト 比較/ヒカク する/スル 時/トキ に/ニ 値段/ネダン や/ヤ 施設/シセツ が/ガ 一緒/イッショ だっ/ダッ た/タ 場合/バアイ キャンセル/キャンセル 料/リョウ が/ガ 要ら/イラ ない/ナイ 方/ホウ を/ヲ 選ぶ/エラブ 場合/バアイ が/ガ 多い/オオイ ので/ノデ やはり/ヤハリ 万一/マンイチ の/ノ 急用/キュウヨウ や/ヤ 体調/タイチョウ 不良/フリョウ 時/ジ の/ノ 旅行/リョコウ 中止/チュウシ を/ヲ 考え/カンガエ て/テ 連絡/レンラク なし/ナシ の/ノ キャンセル/キャンセル の/ノ 場合/バアイ のみ/ノミ キャンセル/キャンセル 料/リョウ を/ヲ 請求/セイキュウ さ/サ れる/レル よう/ヨウ に/ニ し/シ たら/タラ いかが/イカガ でしょ/デショ う/ウ か/カ,821,531,578,282
22,冬/フユ で/デ も/モ 送風/ソウフウ 冷房/レイボウ に/ニ 変更/ヘンコウ できる/デキル と/ト よい/ヨイ です/デス,147,97,87,43
23,きれい/キレイ な/ナ 布/ヌノ 張り/バリ の/ノ いす/イス が/ガ ある/アル の/ノ も/モ いい/イイ です/デス ね/ネ,107,82,68,36
24,近く/チカク の/ノ 居酒屋/イザカヤ に/ニ 行っ/イッ て/テ 外人/ガイジン さん/サン と/ト お/オ 友達/トモダチ に/ニ なり/ナリ 楽しく/タノシク 過ごし/スゴシ て/テ これぞ/コレゾ 国際/コクサイ 交流/コウリュウ センター/センター に/ニ 宿泊/シュクハク し/シ た/タ こと/コト は/ハ あっ/アッ た/タ な/ナ と/ト 思っ/オモッ て/テ おり/オリ まし/マシ た/タ,370,290,236,118
25,夕方/ユウガタ ロビー/ロビー に/ニ 黒/クロ ずくめ/ズクメ の/ノ ホテル/ホテル マン/マン が/ガ 歩行/ホコウ の/ノ じゃま/ジャマ に/ニ なる/ナル ぐらい/グライ うろうろ/ウロウロ し/シ て/テ い/イ た/タ の/ノ は/ハ 何/ナニ だろ/ダロ う/ウ か/カ,283,188,194,96
26,<num> 月/ツキ <num> 日/ニチ に/ニ 宿泊/シュクハク し/シ まし/マシ た/タ,58,43,44,24
27,広く/ヒロク て/テ 気持ち/キモチ の/ノ 良い/ヨイ お/オ 部屋/ヘヤ で/デ 大変/タイヘン リラックス/リラックス でき/デキ まし/マシ た/タ,158,103,107,51
28,苦情/クジョウ と/ト いう/イウ ほど/ホド の/ノ こと/コト で/デ も/モ ない/ナイ の/ノ です/デス が/ガ,103,88,52,26
29,月/ツキ <num> 回/カイ 程度/テイド の/ノ 割合/ワリアイ で/デ 高松/タカマツ へ/ヘ 出張/シュッチョウ し/シ て/テ 様々/サマザマ な/ナ ホテル/ホテル を/ヲ 利用/リヨウ し/シ て/テ いる/イル が/ガ 総合/ソウゴウ 的/テキ 設備/セツビ サービス/サービス 値段/ネダン 等/トウ に/ニ 見れ/ミレ ば/バ 最高/サイコウ 点/テン が/ガ つい/ツイ て/テ も/モ おかしく/オカシク ない/ナイ ホテル/ホテル だ/ダ と/ト 思う/オモウ,453,323,295,141
30,まず/マズ フロント/フロント に/ニ <eng> が/ガ 置い/オイ て/テ あっ/アッ て/テ おやっ/オヤッ と/ト 思い/オモイ まし/マシ た/タ,125,90,77,33
31,最初/サイショ は/ハ 自分/ジブン の/ノ 利用/リヨウ する/スル 駅/エキ が/ガ 近い/チカイ から/カラ という/トイウ 理由/リユウ だけ/ダケ で/デ 選び/エラビ まし/マシ た/タ が/ガ 実際/ジッサイ に/ニ 宿泊/シュクハク し/シ て/テ み/ミ て/テ これから/コレカラ も/モ 毎回/マイカイ 利用/リヨウ さ/サ せ/セ て/テ 頂こ/イタダコ う/ウ と/ト 思い/オモイ 今回/コンカイ も/モ 宿泊/シュクハク さ/サ せ/セ て/テ 頂き/イタダキ まし/マシ た/タ,433,293,294,152
32,子供/コドモ も/モ とても/トテモ 喜ん/ヨロコン で/デ また/マタ 泊まり/トマリ たい/タイ,133,88,85,33
33,朝食/チョウショク 後/ゴ の/ノ コーヒー/コーヒー が/ガ 出/デ て/テ くる/クル の/ノ が/ガ 遅く/オソク 再度/サイド 頼ん/タノン だ/ダ の/ノ です/デス が/ガ 忘れ/ワスレ て/テ しまっ/シマッ た/タ の/ノ でしょ/デショ う/ウ,255,200,159,77
34,今回/コンカイ も/モ 最初/サイショ は/ハ インターネット/インターネット が/ガ 繋がら/ツナガラ ず/ズ 焦り/アセリ まし/マシ た/タ が/ガ ホテル/ホテル の/ノ 方/ホウ の/ノ 丁寧/テイネイ な/ナ フォロー/フォロー によって/ニヨッテ ちゃんと/チャント 使える/ツカエル よう/ヨウ に/ニ なり/ナリ まし/マシ た/タ,364,254,252,118
35,<num> <num> に/ニ <num> 泊/ハク さ/サ せ/セ て/テ いただき/イタダキ まし/マシ た/タ,47,37,35,19
36,全体/ゼンタイ に/ニ とても/トテモ 良かっ/ヨカッ た/タ ので/ノデ また/マタ 利用/リヨウ し/シ たい/タイ と/ト 思い/オモイ ます/マス,148,108,97,41
37,ベッドカバータイプ/ベッドカバータイプ って/ッテ 汚れ/ヨゴレ てる/テル よう/ヨウ な/ナ 感じ/カンジ が/ガ し/シ て/テ ベッド/ベッド に/ニ 思いっきり/オモイッキリ 寝/ネ 転がれ/コロガレ ない/ナイ の/ノ です/デス が/ガ こちら/コチラ の/ノ は/ハ 普通/フツウ の/ノ お/オ 布団/フトン の/ノ よう/ヨウ な/ナ 感じ/カンジ で/デ カバー/カバー は/ハ 白/シロ だ/ダ から/カラ 清潔/セイケツ ー/ー,459,324,302,148
38,少々/ショウショウ 洗い場/アライバ が/ガ 狭い/セマイ です/デス が/ガ 大/ダイ 人数/ニンズウ で/デ 入る/ハイル 訳/ワケ で/デ は/ハ ない/ナイ ので/ノデ 問題/モンダイ 無し/ナシ です/デス,199,139,138,68
39,<num> 階/カイ の/ノ 部屋/ヘヤ で/デ 十分/ジュウブン に/ニ 広く/ヒロク 快適/カイテキ でし/デシ た/タ,110,75,74,38
40,しかし/シカシ 朝食/チョウショク バイキング/バイキング の/ノ メニュー/メニュー が/ガ 二/ニ 日/ニチ とも/トモ 同じ/オナジ な/ナ の/ノ は/ハ,161,116,111,55
41,<eng> <num> で/デ <num> 月/ツキ <num> 日/ニチ に/ニ <num> 泊/ハク で/デ,41,36,27,13
42,これから/コレカラ も/モ 頑張っ/ガンバッ て/テ ください/クダサイ,72,47,51,25
43,ありがとう/アリガトウ ござい/ゴザイ まし/マシ た/タ,39,29,26,14
44,ただ/タダ 繁華/ハンカ 街/ガイ で/デ 最近/サイキン 客引き/キャクヒキ らしい/ラシイ 外国/ガイコク 人/ジン を/ヲ 見かけ/ミカケ たり/タリ パチンコ/パチンコ 屋/ヤ が/ガ 目立つ/メダツ など/ナド やや/ヤヤ 治安/チアン の/ノ 面/メン が/ガ 気/キ に/ニ なり/ナリ ます/マス,286,181,220,102
45,ゆったり/ユッタリ し/シ た/タ お/オ 部屋/ヘヤ で/デ 満足/マンゾク し/シ まし/マシ た/タ,97,62,72,34
46,全体/ゼンタイ 的/テキ に/ニ は/ハ いい/イイ ん/ン です/デス けど/ケド トイレ/トイレ と/ト 風呂/フロ が/ガ 狭い/セマイ の/ノ が/ガ 大変/タイヘン 満足/マンゾク に/ニ なら/ナラ ない/ナイ 点/テン です/デス,237,172,158,74
47,そう/ソウ 思え/オモエ ば/バ 敢えて/アエテ 書き込む/カキコム こと/コト で/デ も/モ ない/ナイ の/ノ だ/ダ が/ガ 一応/イチオウ 感想/カンソウ を/ヲ 述べ/ノベ た/タ,160,125,86,40
48,理由/リユウ は/ハ <num> 清潔/セイケツ <num> 適切/テキセツ な/ナ 値段/ネダン <num> 静か/シズカ <num> 会社/カイシャ に/ニ 近い/チカイ など/ナド 良い/ヨイ 点/テン が/ガ 多い/オオイ ため/タメ です/デス,183,143,119,59
49,お/オ 部屋/ヘヤ を/ヲ 洋室/ヨウシツ から/カラ 和室/ワシツ へ/ヘ 変え/カエ て/テ いただき/イタダキ とても/トテモ ありがたく/アリガタク 思い/オモイ ます/マス,165,110,111,51
50,唯一/ユイイツ 要望/ヨウボウ を/ヲ 挙げる/アゲル の/ノ なら/ナラ 宿泊/シュクハク 駐車/チュウシャ 場代/バダイ が/ガ もう少し/モウスコシ,161,101,111,57
51,欲/ヨク を/ヲ いえ/イエ ば/バ 大/ダイ 浴場/ヨクジョウ の/ノ シャワー/シャワー が/ガ すぐ/スグ 止まっ/トマッ て/テ しまい/シマイ 長い/ナガイ 髪/カミ が/ガ 洗い/アライ にくかっ/ニクカッ た/タ ので/ノデ もう少し/モウスコシ 長い/ナガイ 間/カン 出る/デル よう/ヨウ に/ニ なっ/ナッ て/テ いれ/イレ ば/バ 良い/ヨイ な/ナ と/ト 思い/オモイ まし/マシ た/タ,351,246,242,114
52,連休/レンキュウ に/ニ 宿泊/シュクハク さ/サ せ/セ て/テ いただき/イタダキ まし/マシ た/タ,95,65,70,36
53,あの/アノ 値段/ネダン で/デ あれ/アレ ば/バ 再び/フタタビ 泊まっ/トマッ て/テ みたい/ミタイ です/デス,115,80,81,35
54,初めて/ハジメテ ビジネス/ビジネス ホテル/ホテル を/ヲ 利用/リヨウ し/シ まし/マシ た/タ,113,68,82,42
55,おかげ/オカゲ で/デ 足首/アシクビ を/ヲ 刺さ/ササ れ/レ まし/マシ た/タ,64,44,45,25
56,できれ/デキレ ば/バ ドライヤー/ドライヤー の/ノ ワット/ワット 数/スウ が/ガ 知り/シリ たい/タイ の/ノ です/デス が/ガ,130,95,89,43
57,夜/ヨル も/モ 比較的/ヒカクテキ 静か/シズカ,55,35,37,21
58,チェック/チェック アウト/アウト の/ノ 日/ヒ かなり/カナリ 寒かっ/サムカッ た/タ ので/ノデ 貰っ/モラッ た/タ ホッカイ/ホッカイ ロ/ロ は/ハ 早速/サッソク 使わ/ツカワ せ/セ て/テ もらい/モライ まし/マシ た/タ,217,157,147,71
59,突然/トツゼン の/ノ 旅行/リョコウ に/ニ なり/ナリ 慌て/アワテ て/テ 当日/トウジツ に/ニ ネット/ネット 予約/ヨヤク を/ヲ し/シ て/テ 宿泊/シュクハク し/シ まし/マシ た/タ,216,161,148,70
60,ベッド/ベッド も/モ 広く/ヒロク て/テ 全体/ゼンタイ 的/テキ に/ニ 満足/マンゾク の/ノ いく/イク 内容/ナイヨウ でし/デシ た/タ,156,116,98,46
61,前回/ゼンカイ 利用/リヨウ さ/サ せ/セ て/テ いただい/イタダイ て/テ 気に入り/キニイリ まし/マシ た/タ ので/ノデ また/マタ 予約/ヨヤク し/シ まし/マシ た/タ,151,106,111,53
62,<num> 日/ニチ に/ニ <num> 泊/ハク し/シ まし/マシ た/タ,37,27,30,16
63,朝食/チョウショク が/ガ まずい/マズイ,42,27,29,15
64,もう/モウ ちょっと/チョット 近けれ/チカケレ ば/バ 毎年/マイトシ 行き/イキ たい/タイ ぐらい/グライ です/デス,108,78,69,33
65,リニア/リニア で/デ 向かう/ムカウ と/ト 北/キタ ゲート/ゲート に/ニ 着け/ツケ ます/マス が/ガ その/ソノ 場合/バアイ は/ハ 車/クルマ を/ヲ 駅/エキ 近く/チカク の/ノ 個人/コジン 有料/ユウリョウ 駐車/チュウシャ 場/ジョウ <num> <num> 円/エン に/ニ 止める/トメル 必要/ヒツヨウ が/ガ あり/アリ こちら/コチラ も/モ 人気/ニンキ の/ノ ため/タメ 予約/ヨヤク を/ヲ し/シ た/タ ほう/ホウ が/ガ 無難/ブナン です/デス,474,314,328,154
66,仕事/シゴト で/デ 忙しい/イソガシイ 時/トキ に/ニ ほっと/ホット 一息/ヒトイキ つく/ツク ため/タメ に/ニ また/マタ 利用/リヨウ し/シ たい/タイ です/デス,155,125,93,47
67,に/ニ 利用/リヨウ さ/サ せ/セ て/テ いただき/イタダキ まし/マシ た/タ,59,44,44,22
68,歩く/アルク の/ノ が/ガ 苦手/ニガテ で/デ この/コノ ホテル/ホテル に/ニ 予約/ヨヤク し/シ まし/マシ た/タ,117,87,78,40
69,部屋/ヘヤ は/ハ <num> だっ/ダッ た/タ と/ト 思い/オモイ ます/マス,63,38,43,19
70,こちら/コチラ は/ハ 初めて/ハジメテ 利用/リヨウ さ/サ せ/セ て/テ 頂き/イタダキ まし/マシ た/タ が/ガ 他/タ の/ノ 同/ドウ ランク/ランク の/ノ ホテル/ホテル に/ニ 何/ナン 度/ド か/カ 宿泊/シュクハク する/スル 機会/キカイ が/ガ 有り/アリ 通常/ツウジョウ 割安/ワリヤス 共に/トモニ 行き届い/イキトドイ た/タ 対応/タイオウ を/ヲ し/シ て/テ 頂い/イタダイ た/タ 経験/ケイケン が/ガ 有る/アル ので/ノデ どうしても/ドウシテモ 比べ/クラベ て/テ しまい/シマイ まし/マシ た/タ,506,361,344,166
71,蛍光/ケイコウ 灯/トウ の/ノ 方/ホウ が/ガ 電球/デンキュウ より/ヨリ は/ハ 経済/ケイザイ 的/テキ だ/ダ と/ト は/ハ いい/イイ ます/マス が/ガ,137,97,82,42
72,安い/ヤスイ し/シ 駅/エキ から/カラ 近い/チカイ から/カラ 良かっ/ヨカッ た/タ,62,42,48,26
73,フロント/フロント の/ノ 応対/オウタイ が/ガ 男性/ダンセイ 女性/ジョセイ と/ト も/モ よかっ/ヨカッ た/タ,129,94,81,37
74,お湯/オユ は/ハ とても/トテモ 良かっ/ヨカッ た/タ です/デス,68,48,43,19
75,料理/リョウリ は/ハ,34,14,28,14
76,ダイバー/ダイバー 用/ヨウ の/ノ 宿/ヤド として/トシテ は/ハ 大変/タイヘン よかっ/ヨカッ た/タ です/デス,126,86,87,39
77,とても/トテモ 清潔/セイケツ な/ナ お/オ 部屋/ヘヤ で/デ 窓/マド から/カラ の/ノ 眺め/ナガメ も/モ 良く/ヨク オオクラ/オオクラ の/ノ ネームバリュー/ネームバリュー を/ヲ 考える/カンガエル と/ト 地方/チホウ 都市/トシ ならでは/ナラデハ の/ノ 割安/ワリヤス プラン/プラン だ/ダ と/ト 思い/オモイ ます/マス,410,265,281,127
78,<eng>,0,0,0,0
79,<eng> <num> です/デス,10,10,5,3
80,クレジットカード/クレジットカード が/ガ 使え/ツカエ ない/ナイ 点/テン が/ガ 不便/フベン でし/デシ た/タ が/ガ 値段/ネダン を/ヲ 考える/カンガエル と/ト 仕方/シカタ が/ガ ない/ナイ か/カ と/ト も/モ 思い/オモイ ます/マス,241,176,162,74
81,フィルター/フィルター 掃除/ソウジ しっかり/シッカリ やっ/ヤッ て/テ 下さい/クダサイ,89,64,62,32
82,遅い/オソイ 時間/ジカン の/ノ チェックイン/チェックイン の/ノ 為/タメ か/カ フロント/フロント の/ノ 方/ホウ は/ハ やはり/ヤハリ 笑顔/エガオ も/モ なく/ナク 不/フ 愛想/アイソ に/ニ 感じ/カンジ まし/マシ た/タ,235,160,153,75
83,の/ノ 修正/シュウセイ を/ヲ,37,27,24,12
84,るる/ルル ぶ/ブ,27,12,21,11
85,フロント/フロント の/ノ 女性/ジョセイ は/ハ いずれ/イズレ も/モ 若く/ワカク て/テ ハキハキ/ハキハキ し/シ て/テ おり/オリ 大変/タイヘン 好感/コウカン が/ガ 持て/モテ まし/マシ た/タ,220,140,149,73
86,<eng> 期間/キカン 中/チュウ の/ノ 料金/リョウキン だっ/ダッ た/タ 為/タメ ものすごく/モノスゴク 得/トク し/シ た/タ 気分/キブン を/ヲ 味わえ/アジワエ た/タ,186,131,129,57
87,おっさん/オッサン くさい/クサイ 浴衣/ユカタ なんか/ナンカ じゃ/ジャ ない/ナイ です/デス し/シ フロント/フロント の/ノ 方/ホウ の/ノ 対応/タイオウ も/モ 気持ち/キモチ 悪い/ワルイ 愛想/アイソ ベタ/ベタ ベタ/ベタ 感/カン の/ノ ある/アル 接客/セッキャク で/デ は/ハ なく/ナク センス/センス の/ノ ある/アル 親し/シタシ みやす/ミヤス さ/サ でし/デシ た/タ,382,272,260,130
88,もし/モシ 有っ/アッ たら/タラ ごめんなさい/ゴメンナサイ,61,41,44,20
89,ただ/タダ 着替え/キガエ の/ノ 着物/キモノ の/ノ センス/センス が/ガ いまいち/イマイチ だ/ダ と/ト 思い/オモイ ます/マス,116,91,70,32
90,それから/ソレカラ 部屋/ヘヤ に/ニ 靴べら/クツベラ が/ガ ない/ナイ の/ノ は/ハ 困り/コマリ まし/マシ た/タ,121,71,92,48
91,女性/ジョセイ 用/ヨウ の/ノ 禁煙/キンエン ルーム/ルーム を/ヲ 利用/リヨウ し/シ た/タ の/ノ です/デス が/ガ 清掃/セイソウ も/モ 綺麗/キレイ で/デ お/オ 部屋/ヘヤ も/モ 可愛らしく/カワイラシク 渋谷/シブヤ 駅/エキ 近く/チカク という/トイウ 立地/リッチ に/ニ あり/アリ ながら/ナガラ 静か/シズカ で/デ 快適/カイテキ に/ニ 過ごせ/スゴセ まし/マシ た/タ,387,272,259,131
92,予約/ヨヤク 番号/バンゴウ <eng> <num> です/デス,52,32,35,17
93,安く/ヤスク て/テ 過ごし/スゴシ やすい/ヤスイ ホテル/ホテル を/ヲ 探し/サガシ て/テ いる/イル 女の子/オンナノコ に/ニ 特に/トクニ,154,119,98,52
94,ただ/タダ テレビ/テレビ の/ノ リモコン/リモコン の/ノ 接触/セッショク が/ガ 悪い/ワルイ せい/セイ か/カ 使い/ツカイ ずらかっ/ズラカッ た/タ の/ノ が/ガ 残念/ザンネン でし/デシ た/タ,213,158,148,72
95,フロント/フロント の/ノ 方/ホウ も/モ 礼儀/レイギ 正しく/タダシク 感じ/カンジ が/ガ 良かっ/ヨカッ た/タ です/デス,136,96,90,44
96,ホテル/ホテル 内/ナイ の/ノ ブティック/ブティック で/デ ハンドバック/ハンドバック と/ト 旅行/リョコウ かばん/カバン を/ヲ 買っ/カッ て/テ しまい/シマイ まし/マシ た/タ,195,130,134,62
97,部屋/ヘヤ も/モ 下手/ヘタ な/ナ ビジ/ビジ に/ニ 泊まる/トマル より/ヨリ よっぽど/ヨッポド 広く/ヒロク て/テ 快適/カイテキ,162,97,113,55
98,部屋/ヘヤ が/ガ 清潔/セイケツ に/ニ 保た/タモタ れ/レ て/テ い/イ て/テ 好感/コウカン が/ガ 持て/モテ まし/マシ た/タ,124,89,81,37
99,さて/サテ 予約/ヨヤク 画面/ガメン が/ガ <num> 月/ツキ まで/マデ しか/シカ ない/ナイ の/ノ です/デス が/ガ もう/モウ <num> 月/ツキ 分/ブン から/カラ は/ハ 旅/タビ の/ノ 窓口/マドグチ から/カラ の/ノ 予約/ヨヤク は/ハ でき/デキ ない/ナイ の/ノ でしょ/デショ う/ウ か/カ,267,182,188,92
100,お/オ 風呂/フロ 場/ジョウ は/ハ 普通/フツウ の/ノ 広/ヒロ さ/サ です/デス が/ガ 浴槽/ヨクソウ が/ガ 大きく/オオキク て/テ ゆったり/ユッタリ のんびり/ノンビリ でき/デキ まし/マシ た/タ,214,144,138,72
